Loading environment football failed: No module named 'gfootball'
-- 7.185823394916952
         24794382 function calls (23595294 primitive calls) in 7.519 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      447    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
     3192    0.002    0.000    0.002    0.000 helpers.py:458(__init__)
        1    0.000    0.000    0.002    0.002 polynomial.py:57(<module>)
      633    0.001    0.000    0.002    0.000 helpers.py:73(__add__)
       57    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      366    0.001    0.000    0.002    0.000 inspect.py:2858(_hash_basis)
        1    0.000    0.000    0.002    0.002 chardistribution.py:28(<module>)
        1    0.000    0.000    0.002    0.002 cookies.py:127(<module>)
     2394    0.001    0.000    0.002    0.000 helpers.py:160(players)
        1    0.000    0.000    0.002    0.002 name.py:5(<module>)
        2    0.000    0.000    0.002    0.001 ec.py:5(<module>)
     3155    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1310    0.001    0.000    0.002    0.000 pathlib.py:1020(_make_child_relpath)
        1    0.000    0.000    0.002    0.002 _format.py:1(<module>)
     5205    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      411    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
    31/19    0.000    0.000    0.002    0.000 typing.py:337(__getitem__)
    54/25    0.000    0.000    0.001    0.000 copy.py:210(_deepcopy_list)
       24    0.000    0.000    0.001    0.000 typing.py:618(__getitem__)
        2    0.000    0.000    0.001    0.001 dsa.py:5(<module>)
       13    0.000    0.000    0.001    0.000 _make.py:450(__init__)
        1    0.000    0.000    0.001    0.001 models.py:8(<module>)
        1    0.000    0.000    0.001    0.001 sbcsgroupprober.py:29(<module>)
     4007    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
      422    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
     1612    0.001    0.000    0.001    0.000 _collections_abc.py:676(items)
     5909    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 zipp.py:3(<module>)
      693    0.001    0.000    0.001    0.000 typing.py:701(__setattr__)
      804    0.001    0.000    0.001    0.000 inspect.py:2467(__init__)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
       13    0.000    0.000    0.001    0.000 _make.py:308(_transform_attrs)
        2    0.001    0.000    0.001    0.001 halite.py:83(populate_board)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       76    0.000    0.000    0.001    0.000 six.py:848(wrapper)
    13236    0.001    0.000    0.001    0.000 helpers.py:370(id)
        1    0.000    0.000    0.001    0.001 subprocess.py:42(<module>)
